"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01023099999","2018-01-01","69.055758","18.540356","76.8","BARDUFOSS, NO","   2.9","24","  -0.2","24","9999.9"," 0","999.9"," 0","  6.2","24","  0.9","24","  2.9","999.9","  10.6","*","  -6.7","*"," 0.05","G"," 14.2","000000"
"01023099999","2018-01-02","69.055758","18.540356","76.8","BARDUFOSS, NO","  12.1","24","   9.9","24","9999.9"," 0","999.9"," 0","  5.9","24","  0.5","24","  2.9","999.9","  19.4","*","   4.3"," "," 0.00","G"," 13.8","001000"
"01023099999","2018-01-03","69.055758","18.540356","76.8","BARDUFOSS, NO","  16.8","24","  15.2","24","9999.9"," 0","999.9"," 0","  4.7","24","  0.5","24","  3.9","999.9","  25.9","*","  11.1"," "," 0.09","G"," 14.2","001000"
"01023099999","2018-01-04","69.055758","18.540356","76.8","BARDUFOSS, NO","  16.1","24","  14.5","24","9999.9"," 0","999.9"," 0","  5.7","24","  1.8","24","  5.1","999.9","  24.8","*","  -4.0","*"," 0.00","G","999.9","001000"
"01023099999","2018-01-05","69.055758","18.540356","76.8","BARDUFOSS, NO","  -8.5","24"," -12.5","24","9999.9"," 0","999.9"," 0","  6.0","24","  0.4","24","  1.9","999.9","  -2.2","*"," -13.0","*"," 0.00","I"," 16.9","000000"
"01023099999","2018-01-06","69.055758","18.540356","76.8","BARDUFOSS, NO","   3.7","24","   0.8","24","9999.9"," 0","999.9"," 0","  5.8","24","  0.4","24","  1.9","999.9","  14.0"," ","  -3.1","*"," 0.00","H","999.9","001000"
"01023099999","2018-01-07","69.055758","18.540356","76.8","BARDUFOSS, NO","   2.3","24","  -0.4","24","9999.9"," 0","999.9"," 0","  5.5","24","  0.4","24","  5.1","999.9","  23.0","*","  -9.4","*"," 0.17","F"," 19.3","001000"
"01023099999","2018-01-08","69.055758","18.540356","76.8","BARDUFOSS, NO","  28.7","24","  23.6","24","9999.9"," 0","999.9"," 0","  4.7","24","  9.4","24"," 17.5"," 33.0","  32.9"," ","  22.8","*"," 0.04","E","999.9","001000"
"01023099999","2018-01-09","69.055758","18.540356","76.8","BARDUFOSS, NO","  29.0","24","  27.5","24","9999.9"," 0","999.9"," 0","  5.3","24","  2.4","24","  7.0","999.9","  35.6","*","  23.4"," "," 0.18","G"," 19.3","111000"
"01023099999","2018-01-10","69.055758","18.540356","76.8","BARDUFOSS, NO","  27.8","24","  26.7","24","9999.9"," 0","999.9"," 0","  6.0","24","  1.3","24","  5.1","999.9","  36.1","*","   8.6","*"," 0.09","G"," 17.3","110000"
